"RID","AnnualFee_1","AnnualFee_2","AnnualFee_3","AnnualFee_4","AnnualFee_5","Rewards_1","Rewards_2","Rewards_3","Rewards_4","InterestRate_1","InterestRate_2","InterestRate_3","InterestRate_4","InterestRate_5","InterestRate_6","Fees_1","Fees_2","Fees_3","CreditLimit_1","CreditLimit_2","CreditLimit_3","CreditLimit_4","CreditLimit_5","CreditLimit_6"
"R_2R2HhHS9MKCkyHv"," 2.093307e+00"," 6.350694e-01","-0.9849019314","-2.020542432"," 0.2770682361","-0.359327997"," 0.2561518669","-9.688366e-02"," 2.000598e-01"," 0.507707536","-0.492523571"," 5.878818e-02"," 6.829465e-01","-0.4608013941","-0.296117297"," 6.920167e-01","-2.2083988505"," 1.5163821122","-7.760329e-01"," 0.3446882353","-0.0597836703","-1.033011e-01"," 0.1989834109"," 0.3954460620"
"R_Q5u249VZgf8KVfr"," 3.128279e+00"," 1.120338e-01","-1.1767043537","-2.929706368"," 0.8660977397","-0.387754781"," 0.7278181043"," 4.967830e-01","-8.368463e-01"," 0.322879504"," 0.751627837"," 9.552251e-01","-2.121606e-01","-0.5074628352","-1.310108925"," 1.890560e-01","-1.8236103948"," 1.6345543889","-2.503559e+00","-0.5449348160"," 0.3628882661"," 5.568621e-01"," 1.1291914700"," 0.9995524270"
"R_1rjmK6tVHCtL4jM"," 3.941290e+00"," 2.847239e-01","-1.6625857433","-3.715750686"," 1.1523229285","-1.444236406"," 0.8912258651"," 4.201093e-01"," 1.329012e-01"," 1.874755970"," 1.445611513"," 8.004634e-01","-9.955336e-03","-1.2789792941","-2.831896287"," 3.254800e-01","-1.3918446119"," 1.0663646501","-1.246750e+00","-0.0775464844"," 0.6698476322"," 3.539706e-01"," 0.0975503811"," 0.2029283135"
"R_32Ld8qoGx32i05l"," 1.838480e+00"," 8.933103e-01","-0.7151649188","-2.513856447"," 0.4972307806","-1.504012375"," 0.9189364302"," 5.561817e-01"," 2.889426e-02"," 2.402915478"," 1.639604822"," 7.018092e-01","-4.688571e-01","-1.7495313286","-2.525941041","-9.420461e-02","-1.3502888298"," 1.4444934360","-1.916040e+00","-0.4098908496"," 0.7597751036"," 1.564299e+00","-0.0128058149"," 0.0146633911"
"R_3ERStUhaV8lHT4G"," 3.195818e+00","-3.308313e-01","-1.3808696362","-3.711222269"," 2.2271051968","-0.637173961"," 0.4621610854","-4.656636e-01"," 6.406765e-01"," 0.561946398"," 0.924948648"," 1.312791e+00","-1.740227e-01","-0.7111899811","-1.914473210"," 1.836215e-01","-0.5251106459"," 0.3414891747"," 7.635935e-02"," 0.5399612313"," 0.4319674184"," 3.323275e-01"," 0.0036054033","-1.3842209324"
"R_29slF1tbvcmKjD2"," 2.100053e+00"," 2.363435e-01","-0.5093856499","-2.637928604"," 0.8109179360","-0.546373850"," 0.1361010724","-7.477747e-02"," 4.850502e-01"," 3.696230686"," 1.816891551"," 1.201625e+00","-1.259809e+00","-1.9897524503","-3.465186029","-2.061473e-01","-1.4565273296"," 1.6626745913"," 7.081546e-01"," 0.2364107400"," 0.4546448955","-7.017390e-02","-0.2157079611","-1.1133284029"
"R_1Qc0ZChuS9lyRKi"," 3.422846e+00"," 2.478660e-01","-0.4090136530","-2.884134199","-0.3775640708","-1.666643885"," 0.6693181186"," 9.998795e-01","-2.553688e-03"," 1.036501169"," 1.361622287","-1.714577e-01","-3.276951e-01","-0.9498695315","-0.949101153","-4.084288e-01","-0.8897908827"," 1.2982196770","-2.752255e+00","-0.8422577096","-0.6369861561"," 2.637750e-01"," 1.8978326427"," 2.0698913978"
"R_24AerY910zEEKpW"," 3.577396e+00"," 5.647388e-02","-0.9724267743","-3.575716808"," 0.9142734562","-0.723497089"," 0.2924529287"," 3.935755e-01"," 3.746868e-02"," 2.529624552"," 1.860304904"," 1.040093e+00","-4.098084e-01","-1.9645974047","-3.055616434","-8.096975e-02","-0.2903346620"," 0.3713044078","-2.179272e+00","-0.4539537840"," 0.2076883467"," 8.625949e-01"," 0.4878029048"," 1.0751393717"
"R_Del02e3TUMSN3Vv"," 2.285663e+00"," 1.875866e-01"," 0.3306889164","-2.708265214","-0.0956732617","-1.335348996"," 0.1832929041"," 9.957727e-01"," 1.562834e-01"," 1.164028936"," 0.479416779"," 5.370489e-01"," 5.601650e-01","-1.1225405412","-1.618119062","-6.809925e-01","-0.9337247146"," 1.6147172312","-2.207920e+00","-0.6502481404","-0.1313338139"," 5.463258e-01"," 0.1973420434"," 2.2458346107"
"R_1mmfOUbIO3wIEse"," 3.137926e+00"," 7.698496e-01","-0.6722445356","-2.804357195","-0.4311740873","-2.106334239"," 0.9441104640"," 1.153564e+00"," 8.659460e-03"," 2.597660202"," 2.297043985"," 6.262628e-01","-4.567696e-01","-2.3036876332","-2.760509688"," 6.879631e-02","-0.5498162951"," 0.4810199857","-2.572238e+00","-1.0410600453","-0.3946565664"," 4.967748e-01"," 1.3359172584"," 2.1752629990"
"R_2mWNZCwpFWquZWx"," 2.495360e+00"," 5.125487e-01","-1.2041223517","-2.490336562"," 0.6865499405","-1.750785953"," 1.1982230161"," 6.364552e-01","-8.389222e-02"," 1.928009361"," 1.559480210"," 9.655944e-01","-3.118771e-01","-1.7277523121","-2.413454632"," 3.865514e-01","-1.6782394975"," 1.2916881296"," 6.267926e-01"," 0.9288214934"," 1.3387848869","-5.590522e-01","-0.5219190553","-1.8134277087"
"R_1gI0JWOLsabk1LK"," 5.715157e-01"," 3.093381e-02"," 0.8789307875","-0.676389447","-0.8049908989","-1.628543631"," 0.5686999842"," 1.470717e+00","-4.108738e-01","-0.357425168"," 0.906137500","-2.169107e-01"," 3.976170e-01"," 0.1860194597","-0.915438012"," 3.186767e-01","-0.6856946519"," 0.3670179230","-1.362229e+00","-0.6021457617"," 0.1276010511","-2.028523e-02"," 0.8598554116"," 0.9972038028"
"R_29djt9hguo9IWtk"," 3.024612e+00"," 3.122093e-01","-1.1666084534","-3.229817431"," 1.0596045473","-3.047480014"," 1.4699388138"," 1.179133e+00"," 3.984082e-01"," 1.935191295"," 0.731511891"," 6.455369e-01"," 3.234330e-02","-1.2261847862","-2.118398578","-4.643171e-02","-1.9496814944"," 1.9961131995","-1.012218e+00","-0.0523746773"," 0.0056965382","-4.018214e-02"," 0.2767017990"," 0.8223762627"
"R_3gMjBB0VBLxb9Jp"," 1.285618e+00"," 1.048335e+00","-0.2986832963","-1.357471049","-0.6777979227","-1.913238376"," 1.5248052696"," 1.817864e-01"," 2.066467e-01"," 3.133452739"," 1.405261808"," 6.923649e-01","-3.946299e-01","-1.6079081916","-3.228541326","-9.534899e-02","-2.1898017280"," 2.2851507208","-1.953820e+00","-0.4447368820"," 0.5155889558"," 6.389136e-01"," 1.0738832944"," 0.1701712170"
"R_4YNwhzWDLHFRtBv"," 2.956841e-01","-1.592228e-02","-0.3720865607","-1.728074997"," 1.8203997546","-0.630250737","-0.0317201160"," 2.748390e-01"," 3.871319e-01"," 1.786156602"," 0.187654791"," 1.265658e+00","-3.425425e-01","-1.1650718693","-1.731854932","-1.682151e-01"," 0.2155259958","-0.0473108564","-1.151262e+00"," 1.3182385592"," 0.8250639996"," 6.830141e-01","-0.5872671150","-1.0877876969"
"R_1N3R8XTCXiiY0zC"," 7.440159e-02"," 1.029468e-01"," 0.3127236604"," 0.066413192","-0.5564851990","-1.288267933"," 0.8096676954"," 1.407531e+00","-9.289308e-01"," 1.026138341"," 0.308931132"," 2.086689e-02"," 5.553538e-02","-0.2352956769","-1.176176074","-5.647953e-01","-0.9701831429"," 1.5349784548","-8.843862e-01","-0.2532635237"," 0.1003750614"," 7.531704e-01"," 0.6527860797","-0.3686817433"
"R_3JkIiDBBYGXRxNp"," 1.601940e+00","-2.220761e-01","-0.9007011477","-2.721773835"," 2.2426110457","-2.044816407"," 1.2321607804"," 3.762735e-01"," 4.363821e-01"," 1.548702540"," 0.626973293"," 1.210794e+00","-4.773767e-01","-1.2962284892","-1.612864822","-3.149118e-01","-1.2283762864"," 1.5432880391","-1.436934e+00","-0.2709824548","-0.0441016060","-1.988016e-01"," 0.5329783614"," 1.4178414665"
"R_23fX5f5wnzjjy55"," 2.737832e+00"," 8.778817e-01","-0.9413266938","-3.547820885"," 0.8734335117","-1.811346898"," 1.1783839340"," 2.372906e-01"," 3.956724e-01"," 2.957406544"," 1.214467544"," 8.160052e-01","-9.108289e-01","-1.5451831545","-2.531867180"," 1.020602e-01","-0.8860425504"," 0.7839823620","-2.184136e-01"," 0.6310552239"," 0.3336756730","-3.478714e-01"," 0.2772878188","-0.6757336783"
